module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,cifar10,cifar100,8,16,coupling,16,0.40779298543930054,0.5040860772132874,0.010416666666666666,0.04285589884966612,0.17577585205435753,0.39737631877263385,0.3649370865896344,0.3283102251589298,-0.0013499334454536438,0.36628702003508806
encoder.layers.0.self_attn.q_proj,768,cifar10,dtd,8,16,coupling,16,0.27496010065078735,0.34367817640304565,0.010416666666666666,0.016196005046367645,0.08576983399689198,0.26454343398412067,0.2587640956044197,0.2579083424061537,-0.0013499334454536438,0.26011402904987335
encoder.layers.0.self_attn.q_proj,768,cifar10,emnist_letters,8,16,coupling,16,0.3605591356754303,0.39584866166114807,0.010416666666666666,0.030264045111835003,0.09234438370913267,0.3501424690087636,0.3302950905635953,0.3035042779520154,-0.0013499334454536438,0.33164502400904894
encoder.layers.0.self_attn.q_proj,768,cifar10,eurosat,8,16,coupling,16,0.3075457811355591,0.39799195528030396,0.010416666666666666,0.030390082858502865,0.12979940883815289,0.2971291144688924,0.2771556982770562,0.26819254644215107,-0.0013499334454536438,0.27850563172250986
encoder.layers.0.self_attn.q_proj,768,cifar10,fashion_mnist,8,16,coupling,16,0.3650222718715668,0.41326916217803955,0.010416666666666666,0.03433045977726579,0.09794213343411684,0.3546056052049001,0.330691812094301,0.3153270287439227,-0.0013499334454536438,0.33204174553975463
encoder.layers.0.self_attn.q_proj,768,cifar10,fer2013,8,16,coupling,16,0.35614013671875,0.40988048911094666,0.010416666666666666,0.029903171118348837,0.09878893941640854,0.3457234700520833,0.32623696560040116,0.3110915496945381,-0.0013499334454536438,0.3275868990458548
encoder.layers.0.self_attn.q_proj,768,cifar10,food101,8,16,coupling,16,0.2748012840747833,0.369024395942688,0.010416666666666666,0.021340333856642246,0.11044881492853165,0.26438461740811664,0.2534609502181411,0.25857558101415634,-0.0013499334454536438,0.2548108836635947
encoder.layers.0.self_attn.q_proj,768,cifar10,gtsrb,8,16,coupling,16,0.345234751701355,0.4566199779510498,0.010416666666666666,0.024446347495540977,0.15366880781948566,0.3348180850346883,0.320788404205814,0.30295117013156414,-0.0013499334454536438,0.32213833765126765
encoder.layers.0.self_attn.q_proj,768,cifar10,kmnist,8,16,coupling,16,0.335300087928772,0.3787611722946167,0.010416666666666666,0.031351486686617136,0.09744587074965239,0.3248834212621053,0.30394860124215484,0.2813153015449643,-0.0013499334454536438,0.3052985346876085
encoder.layers.0.self_attn.q_proj,768,cifar10,mnist,8,16,coupling,16,0.35188865661621094,0.3859419822692871,0.010416666666666666,0.03411231352947652,0.1002198550850153,0.34147198994954425,0.3177763430867344,0.2857221271842718,-0.0013499334454536438,0.31912627653218806
