module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,dtd,eurosat,8,18,lora,24,0.6772293448448181,0.6776963472366333,0.010416666666666666,0.5233211237937212,0.524075161665678,0.6668126781781515,0.15390822105109692,0.15362118557095528,0.0,0.15390822105109692
encoder.layers.0.self_attn.q_proj,768,dtd,gtsrb,8,18,lora,24,0.6908331513404846,0.693818211555481,0.010416666666666666,0.5119814351201057,0.5123775415122509,0.680416484673818,0.17885171622037888,0.18144067004323006,0.0,0.17885171622037888
encoder.layers.0.self_attn.q_proj,768,dtd,mnist,8,18,lora,24,0.6900355815887451,0.6934689283370972,0.010416666666666666,0.5112450122833252,0.5130913369357586,0.6796189149220785,0.17879056930541992,0.18037759140133858,0.0,0.17879056930541992
encoder.layers.0.self_attn.q_proj,768,dtd,resisc45,8,18,lora,24,0.7592363953590393,0.7614043951034546,0.010416666666666666,0.5243106540292501,0.5235501248389482,0.7488197286923727,0.23492574132978916,0.23785427026450634,0.0,0.23492574132978916
encoder.layers.0.self_attn.q_proj,768,dtd,stanford-cars,8,18,lora,24,0.6849903464317322,0.6860612630844116,0.010416666666666666,0.5129424706101418,0.5122195798903704,0.6745736797650655,0.17204787582159042,0.17384168319404125,0.0,0.17204787582159042
encoder.layers.0.self_attn.q_proj,768,dtd,sun397,8,18,lora,24,0.694061279296875,0.6945499777793884,0.010416666666666666,0.49262816458940506,0.4937838464975357,0.6836446126302084,0.20143311470746994,0.20076613128185272,0.0,0.20143311470746994
encoder.layers.0.self_attn.q_proj,768,dtd,svhn,8,18,lora,24,0.7043457627296448,0.7043312788009644,0.010416666666666666,0.50591941177845,0.5062812082469463,0.6939290960629781,0.19842635095119476,0.19805007055401802,0.0,0.19842635095119476
encoder.layers.0.self_attn.q_proj,768,eurosat,gtsrb,8,18,lora,24,0.7523802518844604,0.7542592287063599,0.010416666666666666,0.5159877315163612,0.5166208539158106,0.7419635852177938,0.2363925203680992,0.23763837479054928,0.0,0.2363925203680992
encoder.layers.0.self_attn.q_proj,768,eurosat,mnist,8,18,lora,24,0.6899040341377258,0.6925185918807983,0.010416666666666666,0.5179250612854958,0.5184303727000952,0.6794873674710592,0.17197897285223007,0.17408821918070316,0.0,0.17197897285223007
encoder.layers.0.self_attn.q_proj,768,eurosat,resisc45,8,18,lora,24,0.6559049487113953,0.6577224135398865,0.010416666666666666,0.5158503241837025,0.5163914803415537,0.6454882820447286,0.1400546245276928,0.1413309331983328,0.0,0.1400546245276928
encoder.layers.0.self_attn.q_proj,768,eurosat,stanford-cars,8,18,lora,24,0.6095592379570007,0.6149109601974487,0.010416666666666666,0.49851009994745255,0.4998765829950571,0.5991425712903341,0.11104913800954819,0.11503437720239162,0.0,0.11104913800954819
encoder.layers.0.self_attn.q_proj,768,eurosat,sun397,8,18,lora,24,0.6653082370758057,0.6623736023902893,0.010416666666666666,0.49819479137659073,0.49878890812397003,0.654891570409139,0.16711344569921494,0.16358469426631927,0.0,0.16711344569921494
encoder.layers.0.self_attn.q_proj,768,eurosat,svhn,8,18,lora,24,0.7153862118721008,0.7141021490097046,0.010416666666666666,0.5117272697389126,0.5123494137078524,0.7049695452054342,0.20365894213318825,0.20175273530185223,0.0,0.20365894213318825
encoder.layers.0.self_attn.q_proj,768,gtsrb,mnist,8,18,lora,24,0.7680285573005676,0.7677809000015259,0.010416666666666666,0.5117998421192169,0.5117148980498314,0.757611890633901,0.2562287151813507,0.2560660019516945,0.0,0.2562287151813507
encoder.layers.0.self_attn.q_proj,768,gtsrb,resisc45,8,18,lora,24,0.7542721629142761,0.755445122718811,0.010416666666666666,0.5017848331481218,0.5015521384775639,0.7438554962476095,0.2524873297661543,0.2538929842412472,0.0,0.2524873297661543
encoder.layers.0.self_attn.q_proj,768,gtsrb,stanford-cars,8,18,lora,24,0.7214961051940918,0.7250226736068726,0.010416666666666666,0.5051763467490673,0.5052191689610481,0.7110794385274252,0.2163197584450245,0.21980350464582443,0.0,0.2163197584450245
encoder.layers.0.self_attn.q_proj,768,gtsrb,sun397,8,18,lora,24,0.6534553170204163,0.6539339423179626,0.010416666666666666,0.49459133669734,0.49445379711687565,0.6430386503537496,0.15886398032307625,0.159480145201087,0.0,0.15886398032307625
encoder.layers.0.self_attn.q_proj,768,gtsrb,svhn,8,18,lora,24,0.7589555382728577,0.7578577995300293,0.010416666666666666,0.5158700309693813,0.515976982191205,0.748538871606191,0.24308550730347633,0.24188081733882427,0.0,0.24308550730347633
encoder.layers.0.self_attn.q_proj,768,mnist,resisc45,8,18,lora,24,0.7438398599624634,0.74861741065979,0.010416666666666666,0.519030436873436,0.519625186920166,0.7334231932957967,0.2248094230890274,0.22899222373962402,0.0,0.2248094230890274
encoder.layers.0.self_attn.q_proj,768,mnist,stanford-cars,8,18,lora,24,0.6549010872840881,0.6553851962089539,0.010416666666666666,0.5121517051011324,0.512580394744873,0.6444844206174215,0.14274938218295574,0.1428048014640808,0.0,0.14274938218295574
encoder.layers.0.self_attn.q_proj,768,mnist,sun397,8,18,lora,24,0.6461113691329956,0.6486451625823975,0.010416666666666666,0.5163813624531031,0.517889266833663,0.635694702466329,0.12973000667989254,0.13075589574873447,0.0,0.12973000667989254
encoder.layers.0.self_attn.q_proj,768,mnist,svhn,8,18,lora,24,0.7135818004608154,0.7139539122581482,0.010416666666666666,0.5123461615294218,0.5139153599739075,0.7031651337941488,0.20123563893139362,0.20003855228424072,0.0,0.20123563893139362
