module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,1024,cifar10,cifar100,8,17,coupling,18,0.35929521918296814,0.4324136972427368,0.0078125,0.04248986750220259,0.10406867228448391,0.35148271918296814,0.31680535168076557,0.3283450249582529,-0.00352511058251063,0.3203304622632762
encoder.layers.0.self_attn.q_proj,1024,cifar10,dtd,8,17,coupling,18,0.17464032769203186,0.1929500699043274,0.0078125,0.013097020021329323,0.034472894544402756,0.16682782769203186,0.16154330767070255,0.15847717535992464,-0.00352511058251063,0.16506841825321317
encoder.layers.0.self_attn.q_proj,1024,cifar10,emnist_letters,8,17,coupling,18,0.26921728253364563,0.3004106879234314,0.0078125,0.016019592216859262,0.038474645310391985,0.26140478253364563,0.25319769031678635,0.26193604261303943,-0.00352511058251063,0.256722800899297
encoder.layers.0.self_attn.q_proj,1024,cifar10,eurosat,8,17,coupling,18,0.23544396460056305,0.3218267560005188,0.0078125,0.02969012890631954,0.08548617176711559,0.22763146460056305,0.20575383569424352,0.2363405842334032,-0.00352511058251063,0.20927894627675414
encoder.layers.0.self_attn.q_proj,1024,cifar10,fashion_mnist,8,17,coupling,18,0.2908255159854889,0.3329947888851166,0.0078125,0.01904724887572229,0.05637934431433678,0.2830130159854889,0.2717782671097666,0.2766154445707798,-0.00352511058251063,0.27530337769227725
encoder.layers.0.self_attn.q_proj,1024,cifar10,fer2013,8,17,coupling,18,0.24605892598628998,0.27728644013404846,0.0078125,0.016322115436196327,0.04270234269400438,0.23824642598628998,0.22973681055009365,0.23458409744004408,-0.00352511058251063,0.23326192113260427
encoder.layers.0.self_attn.q_proj,1024,cifar10,food101,8,17,coupling,18,0.22646299004554749,0.27111947536468506,0.0078125,0.01660593079092602,0.05513732383648554,0.21865049004554749,0.20985705925462148,0.21598215152819952,-0.00352511058251063,0.2133821698371321
encoder.layers.0.self_attn.q_proj,1024,cifar10,gtsrb,8,17,coupling,18,0.25654497742652893,0.30739322304725647,0.0078125,0.03250788695489367,0.0918337528904279,0.24873247742652893,0.22403709047163525,0.21555947015682858,-0.00352511058251063,0.22756220105414587
encoder.layers.0.self_attn.q_proj,1024,cifar10,kmnist,8,17,coupling,18,0.24284105002880096,0.28108060359954834,0.0078125,0.015591286510849992,0.04624536819756031,0.23502855002880096,0.22724976351795098,0.23483523540198803,-0.00352511058251063,0.2307748741004616
encoder.layers.0.self_attn.q_proj,1024,cifar10,mnist,8,17,coupling,18,0.1828867495059967,0.21217238903045654,0.0078125,0.01620140632924934,0.04711613431572914,0.1750742495059967,0.16668534317674735,0.1650562547147274,-0.00352511058251063,0.17021045375925797
encoder.layers.0.self_attn.q_proj,1024,cifar10,oxford-iiit-pet,8,17,coupling,18,0.21077340841293335,0.22444486618041992,0.0078125,0.014420771660904089,0.03406151290982962,0.20296090841293335,0.19635263675202927,0.1903833532705903,-0.00352511058251063,0.1998777473345399
encoder.layers.0.self_attn.q_proj,1024,cifar10,oxford_flowers102,8,17,coupling,18,0.23264554142951965,0.3030802011489868,0.0078125,0.02344121349354585,0.08066812871644895,0.22483304142951965,0.2092043279359738,0.22241207243253786,-0.00352511058251063,0.21272943851848441
encoder.layers.0.self_attn.q_proj,1024,cifar10,pcam,8,17,coupling,18,0.2264798879623413,0.28268375992774963,0.0078125,0.02318394199634592,0.06596797425299883,0.2186673879623413,0.2032959459659954,0.2167157856747508,-0.00352511058251063,0.20682105654850602
encoder.layers.0.self_attn.q_proj,1024,cifar10,rendered-sst2,8,17,coupling,18,0.15918640792369843,0.165474072098732,0.0078125,0.010624118459721407,0.02022131159901619,0.15137390792369843,0.148562289463977,0.1452527604997158,-0.00352511058251063,0.15208740004648763
encoder.layers.0.self_attn.q_proj,1024,cifar10,resisc45,8,17,coupling,18,0.21849554777145386,0.25541257858276367,0.0078125,0.012180283976097902,0.03877518946925799,0.21068304777145386,0.20631526379535595,0.2166373891135057,-0.00352511058251063,0.20984037437786657
encoder.layers.0.self_attn.q_proj,1024,cifar10,stanford-cars,8,17,coupling,18,0.2009454220533371,0.22255270183086395,0.0078125,0.014696125639602542,0.03917587470884124,0.1931329220533371,0.18624929641373456,0.18337682712202272,-0.00352511058251063,0.18977440699624518
encoder.layers.0.self_attn.q_proj,1024,cifar10,stl10,8,17,coupling,18,0.1815880984067917,0.24199284613132477,0.0078125,0.0168721586621056,0.057472094893455505,0.1737755984067917,0.1647159397446861,0.18452075123786926,-0.00352511058251063,0.16824105032719672
encoder.layers.0.self_attn.q_proj,1024,cifar10,sun397,8,17,coupling,18,0.22972935438156128,0.2403671145439148,0.0078125,0.013026851617420713,0.024941005744040012,0.22191685438156128,0.21670250276414058,0.21542610879987478,-0.00352511058251063,0.2202276133466512
encoder.layers.0.self_attn.q_proj,1024,cifar10,svhn,8,17,coupling,18,0.35812613368034363,0.4026520848274231,0.0078125,0.034250426261375345,0.08708413131535053,0.35031363368034363,0.32387570741896826,0.31556795351207256,-0.00352511058251063,0.3274008180014789
