scope,weighting,base,n_tasks,n_modules,n_cells,k,null_m,block_z,mean_raw,mean_null_iso,mean_null_exact,mean_excess_exact,fraction_explained,fraction_explained_pct,frac_num_sum,frac_den_sum,n_blocks_min,n_blocks_median,n_blocks_max
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,32,2.0,0.10457364820564787,0.009114583333333334,0.031719534247608205,0.07285411395803966,0.23680255976225112,23.680255976225112,309.2357285072802,1305.8800074532628,10,24.0,28
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,32,3.0,0.10457364820564787,0.009114583333333334,0.03156075670971555,0.07301289149593232,0.2351392547832527,23.51392547832527,307.0636517889087,1305.8800074532628,7,17.0,25
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,64,1.0,0.10457364820564787,0.009114583333333334,0.033560245049037256,0.07101340315661062,0.25608528376432654,25.608528376432655,334.4166522708297,1305.8800074532628,22,53.0,63
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,64,2.0,0.10457364820564787,0.009114583333333334,0.03330879482815438,0.07126485337749348,0.2534511680706602,25.34511680706602,330.9768132491519,1305.8800074532628,12,37.0,50
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,64,3.0,0.10457364820564787,0.009114583333333334,0.033121778994601614,0.07145186921104626,0.2514920473333796,25.14920473333796,328.41843664615004,1305.8800074532628,7,21.0,39
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,16,1.0,0.11993626980961992,0.018229166666666668,0.03568019541241856,0.08425607439720136,0.17158121907398938,17.158121907398936,238.73007324188592,1391.3531709956005,12,16.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,16,2.0,0.11993626980961992,0.018229166666666668,0.03560780905611837,0.08432846075350156,0.17086950520088404,17.086950520088404,237.73982788769928,1391.3531709956005,8,14.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,16,3.0,0.11993626980961992,0.018229166666666668,0.03552863161057385,0.08440763819904606,0.17009102028589018,17.00910202858902,236.65668043265032,1391.3531709956005,7,13.0,15
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,32,1.0,0.11993626980961992,0.018229166666666668,0.042764184253526905,0.07717208555609302,0.2412320951898052,24.12320951898052,335.639040588248,1391.3531709956005,17,29.0,32
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,32,2.0,0.11993626980961992,0.018229166666666668,0.042457595055022744,0.07747867475459717,0.23821766267693303,23.821766267693302,331.4449003527111,1391.3531709956005,10,24.0,28
