scope,weighting,base,n_tasks,n_modules,n_cells,k,null_m,block_z,mean_raw,mean_null_iso,mean_null_exact,mean_excess_exact,fraction_explained,fraction_explained_pct,frac_num_sum,frac_den_sum,n_blocks_min,n_blocks_median,n_blocks_max
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,16,1.0,0.1029691640454772,0.004557291666666667,0.024846831952342687,0.0781223320931345,0.206169639853785,20.6169639853785,277.56091110804795,1346.274414142128,12,15.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,16,2.0,0.1029691640454772,0.004557291666666667,0.024808178212301666,0.07816098583317553,0.20577686468238868,20.577686468238866,277.0321279442868,1346.274414142128,9,13.0,15
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,16,3.0,0.1029691640454772,0.004557291666666667,0.024638642196214318,0.07833052184926288,0.2040541455430275,20.40541455430275,274.7128752442119,1346.274414142128,5,11.0,14
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,32,1.0,0.1029691640454772,0.004557291666666667,0.025851332570363345,0.07711783147511385,0.21637674793678235,21.637674793678237,291.30247956257057,1346.274414142128,19,29.0,32
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,32,2.0,0.1029691640454772,0.004557291666666667,0.025785053044648946,0.07718411100082825,0.21570325678056013,21.57032567805601,290.3957756507976,1346.274414142128,11,22.5,28
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,32,3.0,0.1029691640454772,0.004557291666666667,0.02556816722805005,0.07740099681742715,0.21349939853300995,21.349939853300995,287.4287776797247,1346.274414142128,6,17.0,22
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,64,1.0,0.1029691640454772,0.004557291666666667,0.02647884632090066,0.07649031772457654,0.2227531508581887,22.27531508581887,299.88686766992106,1346.274414142128,20,53.0,59
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,64,2.0,0.1029691640454772,0.004557291666666667,0.026381686969958122,0.07658747707551909,0.2217658781989657,22.17658781989657,298.5577277490271,1346.274414142128,11,37.0,49
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,4,64,3.0,0.1029691640454772,0.004557291666666667,0.026121015735976125,0.07684814830950107,0.21911709987902267,21.911709987902267,294.9917452681534,1346.274414142128,6,24.0,33
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch32@c237dc49a33fc61debc9276459120b7eac67e7ef,20,72,13680,8,16,1.0,0.09531264906124162,0.009114583333333334,0.024818746224923163,0.07049390283631846,0.1821869523286217,18.21869523286217,214.83294835694886,1179.1895391577855,12,15.0,16
